code,team_gender,country_code,country,country_long,discipline,disciplines_code,events,num_athletes
BDMXDOUBLES-ALG01,X,ALG,Algeria,Algeria,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-CHN01,X,CHN,China,People's Republic of China,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-CHN02,X,CHN,China,People's Republic of China,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-DEN01,X,DEN,Denmark,Denmark,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-FRA01,X,FRA,France,France,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-HKG01,X,HKG,"Hong Kong, China","Hong Kong, China",Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-INA01,X,INA,Indonesia,Indonesia,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-JPN01,X,JPN,Japan,Japan,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-KOR01,X,KOR,Korea,Republic of Korea,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-KOR02,X,KOR,Korea,Republic of Korea,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-MAS01,X,MAS,Malaysia,Malaysia,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-NED01,X,NED,Netherlands,Netherlands,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-SGP01,X,SGP,Singapore,Singapore,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-THA01,X,THA,Thailand,Thailand,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-TPE01,X,TPE,Chinese Taipei,Chinese Taipei,Badminton,BDM,Mixed Doubles,2
BDMXDOUBLES-USA01,X,USA,United States,United States of America,Badminton,BDM,Mixed Doubles,2
BK3MTEAM3---CHN01,M,CHN,China,People's Republic of China,3x3 Basketball,BK3,Men,4
BK3MTEAM3---FRA01,M,FRA,France,France,3x3 Basketball,BK3,Men,4
BK3MTEAM3---LAT01,M,LAT,Latvia,Latvia,3x3 Basketball,BK3,Men,4
BK3MTEAM3---LTU01,M,LTU,Lithuania,Lithuania,3x3 Basketball,BK3,Men,4
BK3MTEAM3---NED01,M,NED,Netherlands,Netherlands,3x3 Basketball,BK3,Men,4
BK3MTEAM3---POL01,M,POL,Poland,Poland,3x3 Basketball,BK3,Men,4
BK3MTEAM3---SRB01,M,SRB,Serbia,Serbia,3x3 Basketball,BK3,Men,4
BK3MTEAM3---USA01,M,USA,United States,United States of America,3x3 Basketball,BK3,Men,4
BK3WTEAM3---AUS01,W,AUS,Australia,Australia,3x3 Basketball,BK3,Women,4
BK3WTEAM3---AZE01,W,AZE,Azerbaijan,Azerbaijan,3x3 Basketball,BK3,Women,4
BK3WTEAM3---CAN01,W,CAN,Canada,Canada,3x3 Basketball,BK3,Women,4
BK3WTEAM3---CHN01,W,CHN,China,People's Republic of China,3x3 Basketball,BK3,Women,4
BK3WTEAM3---ESP01,W,ESP,Spain,Spain,3x3 Basketball,BK3,Women,4
BK3WTEAM3---FRA01,W,FRA,France,France,3x3 Basketball,BK3,Women,4
BK3WTEAM3---GER01,W,GER,Germany,Germany,3x3 Basketball,BK3,Women,4
BK3WTEAM3---USA01,W,USA,United States,United States of America,3x3 Basketball,BK3,Women,4
BKBMTEAM5---AUS01,M,AUS,Australia,Australia,Basketball,BKB,Men,12
BKBMTEAM5---BRA01,M,BRA,Brazil,Brazil,Basketball,BKB,Men,12
BKBMTEAM5---CAN01,M,CAN,Canada,Canada,Basketball,BKB,Men,12
BKBMTEAM5---ESP01,M,ESP,Spain,Spain,Basketball,BKB,Men,12
BKBMTEAM5---FRA01,M,FRA,France,France,Basketball,BKB,Men,12
BKBMTEAM5---GER01,M,GER,Germany,Germany,Basketball,BKB,Men,12
BKBMTEAM5---GRE01,M,GRE,Greece,Greece,Basketball,BKB,Men,12
BKBMTEAM5---JPN01,M,JPN,Japan,Japan,Basketball,BKB,Men,12
BKBMTEAM5---PUR01,M,PUR,Puerto Rico,Puerto Rico,Basketball,BKB,Men,12
BKBMTEAM5---SRB01,M,SRB,Serbia,Serbia,Basketball,BKB,Men,12
BKBMTEAM5---SSD01,M,SSD,South Sudan,South Sudan,Basketball,BKB,Men,12
BKBMTEAM5---USA01,M,USA,United States,United States of America,Basketball,BKB,Men,12
BKBWTEAM5---AUS01,W,AUS,Australia,Australia,Basketball,BKB,Women,12
BKBWTEAM5---BEL01,W,BEL,Belgium,Belgium,Basketball,BKB,Women,12
BKBWTEAM5---CAN01,W,CAN,Canada,Canada,Basketball,BKB,Women,12
BKBWTEAM5---CHN01,W,CHN,China,People's Republic of China,Basketball,BKB,Women,12
BKBWTEAM5---ESP01,W,ESP,Spain,Spain,Basketball,BKB,Women,12
BKBWTEAM5---FRA01,W,FRA,France,France,Basketball,BKB,Women,12
BKBWTEAM5---GER01,W,GER,Germany,Germany,Basketball,BKB,Women,12
BKBWTEAM5---JPN01,W,JPN,Japan,Japan,Basketball,BKB,Women,12
BKBWTEAM5---NGR01,W,NGR,Nigeria,Nigeria,Basketball,BKB,Women,12
BKBWTEAM5---PUR01,W,PUR,Puerto Rico,Puerto Rico,Basketball,BKB,Women,12
BKBWTEAM5---SRB01,W,SRB,Serbia,Serbia,Basketball,BKB,Women,12
BKBWTEAM5---USA01,W,USA,United States,United States of America,Basketball,BKB,Women,12
CSPMC2-500M-AIN01,M,AIN,AIN,AIN,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-ANG01,M,ANG,Angola,Angola,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-BRA01,M,BRA,Brazil,Brazil,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-CHN01,M,CHN,China,People's Republic of China,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-CZE01,M,CZE,Czechia,Czechia,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-ESP01,M,ESP,Spain,Spain,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-FRA01,M,FRA,France,France,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-GER01,M,GER,Germany,Germany,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-HUN01,M,HUN,Hungary,Hungary,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-ITA01,M,ITA,Italy,Italy,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-KAZ01,M,KAZ,Kazakhstan,Kazakhstan,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-NZL01,M,NZL,New Zealand,New Zealand,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMC2-500M-ROU01,M,ROU,Romania,Romania,Canoe Sprint,CSP,Men's Canoe Double 500m,2
CSPMK2-500M-AUS01,M,AUS,Australia,Australia,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-CAN01,M,CAN,Canada,Canada,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-CHN01,M,CHN,China,People's Republic of China,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-CZE01,M,CZE,Czechia,Czechia,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-ESP01,M,ESP,Spain,Spain,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-ESP02,M,ESP,Spain,Spain,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-GER01,M,GER,Germany,Germany,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-GER02,M,GER,Germany,Germany,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-HUN01,M,HUN,Hungary,Hungary,Canoe Sprint,CSP,Men's Kayak Double 500m,2
CSPMK2-500M-HUN02,M,HUN,Hungary,Hungary,Canoe Sprint,CSP,Men's Kayak Double 500m,2
