athlets_code,name,name_short,name_tv,gender,country_code,country_long,disciplines,events
1910744,GALET Chloe,GALET C,Chloe GALET,Female,FRA,France,['Athletics'],"[""Women's 4 x 100m Relay""]"
1910751,GICQUEL Solene,GICQUEL S,Solene GICQUEL,Female,FRA,France,['Athletics'],"[""Women's High Jump""]"
1910752,GILAVERT Louis,GILAVERT L,Louis GILAVERT,Male,FRA,France,['Athletics'],"[""Men's 3000m Steeplechase""]"
1910753,GLETTY Makenson,GLETTY M,Makenson GLETTY,Male,FRA,France,['Athletics'],"[""Men's Decathlon""]"
1910756,GOGOIS Thomas,GOGOIS T,Thomas GOGOIS,Male,FRA,France,['Athletics'],"[""Men's Triple Jump""]"
1910760,GOUYETTE Mael,GOUYETTE M,Mael GOUYETTE,Male,FRA,France,['Athletics'],"[""Men's 1500m""]"
1910763,GREBO Shana,GREBO S,Shana GREBO,Female,FRA,France,['Athletics'],"[""Women's 400m Hurdles"", ""Women's 4 x 400m Relay""]"
1910765,GRESSIER Jimmy,GRESSIER J,Jimmy GRESSIER,Male,FRA,France,['Athletics'],"[""Men's 10,000m"", ""Men's 5000m""]"
1910769,GUILLAUME Ilionis,GUILLAUME I,Ilionis GUILLAUME,Female,FRA,France,['Athletics'],"[""Women's Triple Jump""]"
1910770,GUILLEMOT Agathe,GUILLEMOT A,Agathe GUILLEMOT,Female,FRA,France,['Athletics'],"[""Women's 1500m""]"
1910773,HABZ Azeddine,HABZ A,Azeddine HABZ,Male,FRA,France,['Athletics'],"[""Men's 1500m""]"
1910774,HAPPIO Wilfried,HAPPIO W,Wilfried HAPPIO,Male,FRA,France,['Athletics'],"[""Men's 400m Hurdles""]"
1910775,HAY Hugo,HAY H,Hugo HAY,Male,FRA,France,['Athletics'],"[""Men's 5000m""]"
1910780,ISCAYE Diana,ISCAYE D,Diana ISCAYE,Female,FRA,France,['Athletics'],"[""Women's 4 x 400m Relay""]"
1910784,JORDIER Thomas,JORDIER T,Thomas JORDIER,Male,FRA,France,['Athletics'],"[""Men's 4 x 400m Relay""]"
1910785,JOSEPH Gemima,JOSEPH G,Gemima JOSEPH,Female,FRA,France,['Athletics'],"[""Women's 100m"", ""Women's 200m"", ""Women's 4 x 100m Relay""]"
1910786,JULIEN Melody,JULIEN M,Melody JULIEN,Female,FRA,France,['Athletics'],"[""Women's Marathon""]"
1910787,KANDISSOUNON Lena,KANDISSOUNON L,Lena KANDISSOUNON,Female,FRA,France,['Athletics'],"[""Women's 800m""]"
1910791,KOUNTA Muhammad Abdallah,KOUNTA MA,Muhammad Abdallah KOUNTA,Male,FRA,France,['Athletics'],"[""Men's 4 x 400m Relay"", '4 x 400m Relay Mixed']"
1910794,KPATCHA Hilary,KPATCHA H,Hilary KPATCHA,Female,FRA,France,['Athletics'],"[""Women's Long Jump""]"
1910802,LAMOTE Renelle,LAMOTE R,Renelle LAMOTE,Female,FRA,France,['Athletics'],"[""Women's 800m""]"
